[2018-03-08 18:54:47:533][main] INFO  c.c.s.i.ImageMigratorApplication - Starting ImageMigratorApplication on SKP1002639NM003.local with PID 31771 (/Users/a1002639/IdeaProjects/image_migrator/out/production/classes started by a1002639 in /Users/a1002639/IdeaProjects/image_migrator)
[2018-03-08 18:54:47:536][main] DEBUG c.c.s.i.ImageMigratorApplication - Running with Spring Boot v1.5.10.RELEASE, Spring v4.3.14.RELEASE
[2018-03-08 18:54:47:536][main] INFO  c.c.s.i.ImageMigratorApplication - The following profiles are active: local-all-test
[2018-03-08 18:54:48:1241][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** Start!!!
[2018-03-08 18:54:48:1242][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.1. Plan files generating [PdPrdDescPlanGenerator] [begin]
[2018-03-08 18:54:49:1661][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.1.2. Plan files generating [PdPrdDescPlanGenerator] [done]
[2018-03-08 18:54:49:1661][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.1. Plan files generating [PdOptValuePlanGenerator] [begin]
[2018-03-08 18:54:49:2173][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.2.2. Plan files generating [PdOptValuePlanGenerator] [done]
[2018-03-08 18:54:49:2174][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.1. Plan files generating [PdOptDtlImagePlanGenerator] [begin]
[2018-03-08 18:54:49:2534][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 1.3.2. Plan files generating [PdOptDtlImagePlanGenerator] [done]
[2018-03-08 18:54:49:2535][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.1. Images downloading [PdPrdDescImgDownLoader] [begin]
[2018-03-08 18:55:48:61067][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.1.2. Images downloading [PdPrdDescImgDownLoader] [done]
[2018-03-08 18:55:48:61067][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.1. Images downloading [PdOptValueImgDownLoader] [begin]
[2018-03-08 18:55:48:61068][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.2.2. Images downloading [PdOptValueImgDownLoader] [done]
[2018-03-08 18:55:48:61068][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.1. Images downloading [PdOptDtlImageImgDownLoader] [begin]
[2018-03-08 18:55:48:61097][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 2.3.2. Images downloading [PdOptDtlImageImgDownLoader] [done]
[2018-03-08 18:55:48:61098][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.1.1. URL data is being migrated [PdPrdDescURLDataMigrator] [begin]
[2018-03-08 18:55:48:61099][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.1.2. URL data is being migrated [PdPrdDescURLDataMigrator] [done]
[2018-03-08 18:55:48:61099][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.2.1. URL data is being migrated [PdOptValueURLDataMigrator] [begin]
[2018-03-08 18:55:48:61099][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.2.2. URL data is being migrated [PdOptValueURLDataMigrator] [done]
[2018-03-08 18:55:48:61100][main] INFO  c.c.s.image_migrator.ImageMigrator - ***** 3.3.1. URL data is being migrated [PdOptDtlImageURLDataMigrator] [begin]
